,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,4082942,1689645818.857676703,3035,14,39,3195000,3200000
0,4083054,1689645819.020761466,3035,13,39,3195000,3200000
0,4084722,1689645821.810398118,3034,44,1,4100000,4105000
0,4084519,1689645821.529156224,2368,36,26,1740000,1750000
0,4095713,1689645835.487529877,4938,22,5,833000,835000
0,4144785,1689645890.938957870,2368,63,1,1735000,1740000
0,4144905,1689645891.110291702,2368,62,26,1735000,1745000
0,4133757,1689645876.828256011,1707,14,11,1635000,1645000
0,4191669,1689645949.279846800,2313,11,78,469000,470000
0,4192592,1689645950.673827626,3035,6,5,3115000,3125000
0,4194939,1689645953.730647258,3035,1,5,3120000,3125000
0,4195185,1689645954.024333422,3035,3,2,3120000,3125000
0,4200482,1689645961.479087823,3035,7,4,3125000,3130000
0,4215170,1689645979.281642624,2371,25,11,497000,498000
0,4311484,1689646098.347446957,6213,5,6,750000,753000
0,4317624,1689646108.009133439,2059,2,2,8390000,8420000
0,4326392,1689646122.583649632,2059,17,3,8420000,8440000
0,4343105,1689646150.115278545,1303,95,5,702000,705000
0,4420054,1689646290.104666167,3035,4,10,3175000,3180000
0,4421997,1689646293.434849369,2201,1,17,827000,828000
0,4428122,1689646305.063629847,2371,46,21,498500,499000
0,4429801,1689646308.207591014,2371,48,9,498500,499000
0,4446005,1689646338.044861308,3035,6,18,3175000,3180000
0,4460123,1689646368.515446968,3035,18,17,3170000,3175000
0,4461125,1689646370.285979309,2201,1,19,827000,828000
0,4474926,1689646396.936940834,3035,13,6,3155000,3160000
0,4478372,1689646403.160918750,3035,13,20,3155000,3160000
0,4479723,1689646405.437414863,3035,8,20,3155000,3160000
0,4484576,1689646413.614532243,2481,19,9,811000,812000
0,4516501,1689646470.281714692,2634,191,23,537000,538000
0,4525168,1689646487.249514142,2634,193,24,537000,538000
0,4529733,1689646497.111738818,2634,194,20,537000,538000
0,4530616,1689646499.058597432,2634,194,17,537000,538000
0,4531120,1689646500.041697433,2634,194,14,537000,538000
0,4545906,1689646527.219942886,2610,259,1026,250500,251000
0,4552808,1689646543.509007131,2059,2,7,8450000,8470000
0,4555341,1689646549.796213265,3035,14,13,3170000,3175000
0,4568957,1689646580.989740241,2481,28,37,813000,815000
0,4576285,1689646596.564926048,1504,28,27,532000,534000
0,4579708,1689646605.040221451,2615,20,24,507000,508000
0,4579952,1689646605.496405402,2610,363,766,250500,251000
0,4581700,1689646608.898332583,2610,268,531,251500,252000
0,4585904,1689646616.720006303,3037,166,130,1845000,1850000
0,4596069,1689646635.344219132,2368,1,16,1750000,1755000
